NationalTeamId,NationalTeamName
190,AFGHANISTAN
76,ALBANIA
117,ALGERIA
222,AMERICAN SAMOA
193,ANDORRA
109,ANGOLA
210,ANGUILLA
108,ANTIGUA AND BARBUDA
1,ARGENTINA
86,ARMENIA
175,ARUBA
21,AUSTRALIA
44,AUSTRIA
88,AZERBAIJAN
172,BAHAMAS
23,BAHRAIN
161,BANGLADESH
105,BARBADOS
77,BELARUS
45,BELGIUM
174,BELIZE
135,BENIN
106,BERMUDA
187,BHUTAN
9,BOLIVIA
211,BONAIRE
78,BOSNIA & HERZEGOVINA
137,BOTSWANA
2,BRAZIL
220,BRITISH VIRGIN ISLANDS
191,BRUNEI DARUSSALAM
46,BULGARIA
118,BURKINA FASO
143,BURUNDI
164,CAMBODIA
110,CAMEROON
96,CANADA
119,CAPE VERDE
178,CAYMAN ISLANDS
197,CENTRAL AFRICAN REPUBLIC
195,CHAD
3,CHILE
22,CHINA
157,CHINESE TAIPEI
4,COLOMBIA
199,COMOROS
120,CONGO
155,COOK ISLANDS
92,COSTA RICA
111,COTE Dâ€™IVOIRE
47,CROATIA
97,CUBA
177,CURACAO
79,CYPRUS
48,CZECH REPUBLIC
49,DENMARK
203,DJIBOUTI
170,DOMINICA
171,DOMINICAN REPUBLIC
121,DR CONGO
5,ECUADOR
122,EGYPT
107,EL SALVADOR
50,ENGLAND
133,EQUATORIAL GUINEA
201,ERITREA
90,ESTONIA
150,ESWATINI
140,ETHIOPIA
167,FAROE ISLANDS
14,FIJI
51,FINLAND
52,FRANCE
212,FRENCH GUIANA
215,FS MICRONESIA
124,GABON
141,GAMBIA
80,GEORGIA
53,GERMANY
112,GHANA
204,GIBRALTAR
54,GREECE
173,GRENADA
213,GUADELOUPE
223,GUAM
98,GUATEMALA
125,GUINEA
181,GUINEA BISSAU
99,GUYANA
100,HAITI
101,HONDURAS
31,HONG KONG
55,HUNGARY
81,ICELAND
43,INDIA
39,INDONESIA
17,IRAN
24,IRAQ
82,ISRAEL
57,ITALY
102,JAMAICA
18,JAPAN
25,JORDAN
87,KAZAKHSTAN
136,KENYA
34,KOREA DPR
194,KOSOVO
26,KUWAIT
40,KYRGYZSTAN
186,LAOS
58,LATVIA
37,LEBANON
200,LESOTHO
149,LIBERIA
126,LIBYA
89,LIECHTENSTEIN
83,LITHUANIA
152,LUXEMBOURG
160,MACAU
182,MADAGASCAR
146,MALAWI
151,MALAYSIA
162,MALDIVES
127,MALI
91,MALTA
214,MARTINIQUE
147,MAURITANIA
183,MAURITIUS
205,MAYOTTE
93,MEXICO
85,MOLDOVA
189,MONGOLIA
184,MONTENEGRO
216,MONTSERRAT
128,MOROCCO
134,MOZAMBIQUE
188,MYANMAR
142,NAMIBIA
158,NEPAL
59,NETHERLANDS
12,NEW CALEDONIA
11,NEW ZEALAND
176,NICARAGUA
196,NIGER
113,NIGERIA
84,NORTH MACEDONIA
60,NORTHERN IRELAND
224,NORTHERN MARIANA ISLANDS
61,NORWAY
27,OMAN
165,PAKISTAN
225,PALAU
185,PALESTINE
103,PANAMA
156,PAPUA NEW GUINEA
6,PARAGUAY
7,PERU
159,PHILIPPINES
62,POLAND
63,PORTUGAL
168,PUERTO RICO
28,QATAR
56,REPUBLIC OF IRELAND
206,REUNION
64,ROMANIA
65,RUSSIA
144,RWANDA
217,SAINT MARTIN
16,SAMOA
166,SAN MARINO
207,SAO TOME AND PRINCIPE
19,SAUDI ARABIA
66,SCOTLAND
129,SENEGAL
67,SERBIA
198,SEYCHELLES
123,SIERRA LEONE
36,SINGAPORE
218,SINT MAARTEN
68,SLOVAKIA
69,SLOVENIA
13,SOLOMON ISLANDS
202,SOMALIA
114,SOUTH AFRICA
20,SOUTH KOREA
208,SOUTH SUDAN
70,SPAIN
163,SRI LANKA
169,ST KITTS AND NEVIS
180,ST LUCIA
104,ST VINCENT AND THE GRENADINES
139,SUDAN
179,SURINAME
71,SWEDEN
72,SWITZERLAND
32,SYRIA
154,TAHITI
41,TAJIKISTAN
138,TANZANIA
33,THAILAND
226,TIBET
192,TIMOR-LESTE
115,TOGO
153,TONGA
94,TRINIDAD & TOBAGO
116,TUNISIA
73,TURKEY
35,TURKMENISTAN
219,TURKS AND CAICOS ISLANDS
130,UGANDA
74,UKRAINE
29,UNITED ARAB EMIRATES
8,URUGUAY
221,US VIRGIN ISLANDS
95,USA
30,UZBEKISTAN
15,VANUATU
10,VENEZUELA
38,VIETNAM
75,WALES
42,YEMEN
131,ZAMBIA
209,ZANZIBAR
132,ZIMBABWE
